,CustomerID,InvoiceNo,Basket Price
2,12347,537626,711.79
3,12347,542237,475.39
4,12347,549222,636.25
5,12347,556201,382.52
6,12347,562032,584.9100000000001
7,12347,573511,1294.32
8,12347,581180,224.82
9,12348,539318,892.8
10,12348,541998,227.44
11,12348,548955,367.0
12,12348,568172,310.0
13,12349,577609,1757.55
14,12350,543037,334.4
15,12352,544156,296.5
16,12352,545323,144.35
17,12352,545332,840.3
19,12352,547390,160.33
20,12352,567505,366.25
21,12352,568699,266.25
22,12352,574275,311.73
26,12353,553900,89.0
27,12354,550911,1079.4
28,12355,552449,459.4
29,12356,541430,2271.62
30,12356,549435,481.46000000000004
31,12356,576895,58.349999999999994
32,12357,574740,6207.67
33,12358,559707,484.86
34,12358,581232,683.2
35,12359,540946,547.5
36,12359,543370,1803.11
37,12359,555477,1109.32
38,12359,571034,2680.55
41,12360,554132,1083.58
42,12360,563749,534.7
43,12360,571705,1043.78
44,12361,545017,189.9
45,12362,544203,474.2
46,12362,551346,495.24
47,12362,559295,303.76
48,12362,563037,451.35
49,12362,568651,829.99
50,12362,570667,355.8
51,12362,572887,786.95
52,12362,573173,450.31
53,12362,574329,477.94
54,12362,580979,529.04
58,12363,549687,299.1
59,12363,563947,252.9
60,12364,563854,623.92
61,12364,567897,79.8
62,12364,573401,299.06
63,12364,580152,310.32
64,12365,544574,320.69
65,12365,544578,320.69
67,12367,580716,168.9
68,12370,538826,1587.07
69,12370,539330,277.2
70,12370,546236,938.39
71,12370,571905,739.28
72,12371,570521,1527.96
73,12371,572770,360.0
74,12372,544157,399.22
75,12372,552731,515.7
76,12372,568872,383.12
77,12373,542887,364.6
78,12374,576345,742.9300000000001
79,12375,565333,230.3
80,12375,579281,225.12
82,12377,539488,1001.52
83,12377,542586,626.6
84,12378,562046,4008.62
85,12379,557789,457.89
86,12379,567196,392.40000000000003
88,12380,555739,607.5500000000001
89,12380,567928,626.01
90,12380,571187,446.61
91,12380,577180,1040.39
93,12381,563100,1227.3899999999999
94,12381,570681,6.0
95,12381,570725,4.5
96,12381,574694,419.06
97,12381,580638,147.01
99,12383,539840,600.72
100,12383,540971,639.91
101,12383,546434,357.07
102,12383,550284,142.16
103,12383,555928,99.45
105,12384,562882,273.58000000000004
106,12384,575734,292.58
108,12386,537676,258.9
109,12386,540280,143.0
110,12388,541271,431.3
111,12388,543357,124.05000000000001
112,12388,546135,210.9
113,12388,560033,902.09
114,12388,568145,825.9200000000001
115,12388,578459,286.4
116,12390,567530,549.84
117,12391,577228,439.66
118,12393,540700,462.5
119,12393,541149,177.00000000000003
120,12393,549313,421.6
121,12393,568708,521.5
122,12394,552188,381.08
123,12394,569997,891.4
124,12395,537026,346.1
125,12395,539447,330.87
126,12395,543733,216.66
127,12395,547517,326.5
128,12395,551985,149.97
129,12395,552884,181.82
130,12395,558623,163.9
131,12395,563852,165.95
132,12395,569496,346.68
133,12395,575151,263.08
134,12395,575154,243.47
135,12395,577551,263.28
139,12397,561507,1214.81
140,12397,574336,1195.09
141,12398,572567,1635.6599999999999
142,12399,547412,288.05
143,12399,552543,480.90000000000003
144,12399,556203,130.08
145,12399,563172,209.62
146,12401,543537,84.3
147,12402,541675,225.6
148,12403,572184,409.7
150,12405,559928,1710.39
151,12406,556127,1486.7
152,12406,577126,1794.05
154,12407,547061,226.3
155,12407,550440,269.66
156,12407,559058,719.06
157,12407,561662,192.34
158,12407,572133,300.76
159,12408,547684,751.49
160,12408,547685,56.900000000000006
161,12408,557147,652.53
162,12408,565246,642.28
163,12408,574862,739.5
168,12409,556415,6196.29
170,12409,567721,4860.64
175,12410,543180,613.0799999999999
176,12410,543181,68.0
178,12412,557889,514.5
179,12412,561102,376.24
180,12412,568223,336.14
181,12413,540365,415.3
182,12413,550338,84.65
183,12413,569402,194.20000000000002
186,12414,543027,153.76
187,12414,550998,242.8
188,12414,552202,165.85
189,12415,540267,7011.38
190,12415,540557,81.6
191,12415,543989,13536.72
192,12415,545475,16619.34
194,12415,553546,11924.800000000001
195,12415,554037,766.3599999999999
196,12415,556917,22775.93
197,12415,556918,650.88
198,12415,559919,2735.16
199,12415,559920,61.199999999999996
201,12415,563614,21706.44
202,12415,565145,2732.92
203,12415,565146,208.79999999999998
204,12415,569647,828.0
205,12415,569650,15643.77
206,12415,574014,624.24
207,12415,574138,375.24
208,12415,576394,4925.8
209,12415,576586,429.6
215,12417,539391,259.39
216,12417,541991,323.44
217,12417,545536,391.6
218,12417,551398,436.3
219,12417,555574,437.19
220,12417,562445,355.56
221,12417,564378,562.69
222,12417,573656,442.9
223,12417,580965,369.73
227,12418,563756,668.58
228,12420,570000,600.39
229,12421,541980,157.45
230,12421,557297,239.35
231,12421,563518,231.76
232,12421,578339,178.48
234,12422,541520,238.5
235,12422,558041,417.36
236,12422,565466,147.7
237,12423,539676,237.93
238,12423,544474,192.31
239,12423,547109,347.35
240,12423,549249,255.36
241,12423,554147,333.82
242,12423,555161,84.92
243,12423,564853,188.78
244,12423,581493,208.64000000000001
246,12424,558536,1466.3200000000002
247,12424,558537,294.64000000000004
248,12425,567929,777.2
249,12426,554985,582.73
250,12427,536861,246.55
251,12427,570452,282.58
252,12427,577135,179.24
255,12428,545226,1943.4
256,12428,545227,2462.42
257,12428,545336,551.2
258,12428,547086,409.2
259,12428,548363,496.28999999999996
260,12428,549588,373.72
261,12428,559004,632.44
262,12428,563020,600.19
263,12428,576082,408.34000000000003
267,12429,538003,1281.5
268,12429,551054,437.98
269,12429,557427,1125.4
270,12429,579881,905.52
271,12430,573108,256.4
272,12431,536389,358.25
273,12431,539419,348.2
274,12431,542542,384.68
275,12431,544193,640.1
276,12431,545065,412.55
277,12431,552956,465.26
278,12431,554126,449.09
279,12431,560473,483.02000000000004
280,12431,561040,467.3
281,12431,561228,118.8
282,12431,563179,608.76
283,12431,569722,588.96
284,12431,569723,89.80000000000001
285,12431,570446,332.68
286,12431,574469,601.44
290,12432,557472,2862.06
291,12432,557474,454.6
292,12432,557754,700.0
293,12432,573195,978.0600000000001
294,12432,573200,64.6
295,12433,536532,1919.1399999999999
296,12433,537868,1867.98
297,12433,566195,2608.11
298,12433,573035,1498.66
299,12433,579692,2843.29
300,12433,581476,2618.89
301,12433,581491,19.799999999999997
302,12434,547659,273.05
303,12434,567085,519.89
306,12435,546780,3978.9900000000002
307,12435,567526,3850.9
308,12436,565124,509.01
309,12437,540972,337.95
310,12437,543030,150.5
311,12437,544817,344.0
312,12437,544818,95.75999999999999
313,12437,546765,147.70999999999998
314,12437,551389,209.10000000000002
315,12437,553577,368.2
316,12437,554555,267.12
317,12437,556816,501.64
318,12437,565321,269.58
319,12437,565322,65.1
320,12437,567910,222.6
321,12437,573036,263.46
322,12437,574093,736.55
323,12437,574252,260.48
324,12437,577344,198.6
325,12437,579870,292.40999999999997
326,12437,581279,165.9
328,12438,560991,890.0699999999999
329,12438,578811,2016.78
330,12441,537693,173.55
331,12442,580955,172.06
332,12444,557621,1870.2
333,12444,562844,757.0699999999999
334,12444,566773,562.54
335,12444,570793,879.01
336,12444,577314,936.64
337,12445,577125,133.4
338,12446,571035,1002.3100000000001
339,12447,549559,476.49
340,12448,572886,449.45
341,12449,555572,858.9300000000001
342,12449,562034,777.95
343,12449,566076,1087.7
344,12449,577046,1342.71
345,12450,557303,101.88
346,12450,559148,96.0
347,12451,541518,2817.5099999999998
348,12451,552013,2388.31
349,12451,569653,2539.56
350,12451,577157,925.64
351,12451,579259,262.5
353,12452,578099,348.57
354,12452,578123,80.0
356,12453,561627,707.09
359,12455,544097,1683.9
360,12455,544331,15.0
361,12455,555470,264.4
362,12455,559135,134.5
363,12455,562287,78.56
364,12455,568554,290.5
365,12456,548212,940.1700000000001
366,12456,561898,1298.08
367,12456,572896,915.64
369,12457,550188,613.6
370,12457,550281,40.0
371,12457,550671,179.0
